"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX21985535","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060760","","4373.29","1","46102729","13841756124","MARCO 061 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985534","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060759","","2823.73","1","30090082","9034030746","MARCO 060 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985533","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060757","","3836.13","1","38427901","11537157588","MARCO 060 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985532","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060758","","1430.05","1","15058496","4523084272","MARCO 057 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985531","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060756","","1771.49","1","18857628","5662666374","MARCO 057 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985530","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060755","","6774.5","1","72339129","21701738700","MARCO 004 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985529","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060754","","437.68","1","3850479","1161753010","MARCO 056 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985528","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060752","","3309.06","1","34976664","10500028136","MARCO 056 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985527","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060753","","4710.92","1","49520325","14864457654","MARCO 055 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985526","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060751","","1862.04","1","19372684","5818649806","MARCO 055 V2","WGS","METAGENOMIC","size fractionation"
